Date,Social Dominance (BTC),Social Volume (BTC),Twitter Followers (BTC),Twitter Followers 24h (BTC),Twitter Followers 7d (BTC),Price (BTC),Active social users (Telegram) (BTC)
2009-01-08T00:00:00.000Z,,0,,,,,
2009-01-15T00:00:00.000Z,,0,,,,,
2009-01-22T00:00:00.000Z,,0,,,,,
2009-01-29T00:00:00.000Z,,0,,,,,
2009-02-05T00:00:00.000Z,,0,,,,,
2009-02-12T00:00:00.000Z,,0,,,,,
2009-02-19T00:00:00.000Z,,0,,,,,
2009-02-26T00:00:00.000Z,,0,,,,,
2009-03-05T00:00:00.000Z,,0,,,,,
2009-03-12T00:00:00.000Z,,0,,,,,
2009-03-19T00:00:00.000Z,,0,,,,,
2009-03-26T00:00:00.000Z,,0,,,,,
2009-04-02T00:00:00.000Z,,0,,,,,
2009-04-09T00:00:00.000Z,,0,,,,,
2009-04-16T00:00:00.000Z,,0,,,,,
2009-04-23T00:00:00.000Z,,0,,,,,
2009-04-30T00:00:00.000Z,,0,,,,,
2009-05-07T00:00:00.000Z,,0,,,,,
2009-05-14T00:00:00.000Z,,0,,,,,
2009-05-21T00:00:00.000Z,,0,,,,,
2009-05-28T00:00:00.000Z,,0,,,,,
2009-06-04T00:00:00.000Z,,0,,,,,
2009-06-11T00:00:00.000Z,,0,,,,,
2009-06-18T00:00:00.000Z,,0,,,,,
2009-06-25T00:00:00.000Z,,0,,,,,
2009-07-02T00:00:00.000Z,,0,,,,,
2009-07-09T00:00:00.000Z,,0,,,,,
2009-07-16T00:00:00.000Z,,0,,,,,
2009-07-23T00:00:00.000Z,,0,,,,,
2009-07-30T00:00:00.000Z,,0,,,,,
2009-08-06T00:00:00.000Z,,0,,,,,
2009-08-13T00:00:00.000Z,,0,,,,,
2009-08-20T00:00:00.000Z,,0,,,,,
2009-08-27T00:00:00.000Z,,0,,,,,
2009-09-03T00:00:00.000Z,,0,,,,,
2009-09-10T00:00:00.000Z,,0,,,,,
2009-09-17T00:00:00.000Z,,0,,,,,
2009-09-24T00:00:00.000Z,,0,,,,,
2009-10-01T00:00:00.000Z,,0,,,,,
2009-10-08T00:00:00.000Z,,0,,,,,
2009-10-15T00:00:00.000Z,,0,,,,,
2009-10-22T00:00:00.000Z,,0,,,,,
2009-10-29T00:00:00.000Z,,0,,,,,
2009-11-05T00:00:00.000Z,,0,,,,,
2009-11-12T00:00:00.000Z,,0,,,,,
2009-11-19T00:00:00.000Z,,4,,,,,
2009-11-26T00:00:00.000Z,,1,,,,,
2009-12-03T00:00:00.000Z,,1,,,,,
2009-12-10T00:00:00.000Z,,14,,,,,
2009-12-17T00:00:00.000Z,,3,,,,,
2009-12-24T00:00:00.000Z,,1,,,,,
2009-12-31T00:00:00.000Z,,3,,,,,
2010-01-07T00:00:00.000Z,,6,,,,,
2010-01-14T00:00:00.000Z,,8,,,,,
2010-01-21T00:00:00.000Z,,18,,,,,
2010-01-28T00:00:00.000Z,,28,,,,,
2010-02-04T00:00:00.000Z,,32,,,,,
2010-02-11T00:00:00.000Z,,30,,,,,
2010-02-18T00:00:00.000Z,,42,,,,,
2010-02-25T00:00:00.000Z,,32,,,,,
2010-03-04T00:00:00.000Z,,30,,,,,
2010-03-11T00:00:00.000Z,,19,,,,,
2010-03-18T00:00:00.000Z,,13,,,,,
2010-03-25T00:00:00.000Z,,6,,,,,
2010-04-01T00:00:00.000Z,,11,,,,,
2010-04-08T00:00:00.000Z,,19,,,,,
2010-04-15T00:00:00.000Z,,26,,,,,
2010-04-22T00:00:00.000Z,,17,,,,,
2010-04-29T00:00:00.000Z,,21,,,,,
2010-05-06T00:00:00.000Z,,23,,,,,
2010-05-13T00:00:00.000Z,,20,,,,,
2010-05-20T00:00:00.000Z,,40,,,,,
2010-05-27T00:00:00.000Z,,21,,,,,
2010-06-03T00:00:00.000Z,,39,,,,,
2010-06-10T00:00:00.000Z,,61,,,,,
2010-06-17T00:00:00.000Z,,32,,,,,
2010-06-24T00:00:00.000Z,,59,,,,,
2010-07-01T00:00:00.000Z,,43,,,,,
2010-07-08T00:00:00.000Z,,292,,,,,
2010-07-15T00:00:00.000Z,100,479,,,,,
2010-07-22T00:00:00.000Z,100,321,,,,,
2010-07-29T00:00:00.000Z,100,300,,,,,
2010-08-05T00:00:00.000Z,100,291,,,,,
2010-08-12T00:00:00.000Z,100,362,,,,,
2010-08-19T00:00:00.000Z,100,268,,,,,
2010-08-26T00:00:00.000Z,100,129,,,,,
2010-09-02T00:00:00.000Z,100,84,,,,,
2010-09-09T00:00:00.000Z,100,162,,,,,
2010-09-16T00:00:00.000Z,100,182,,,,,
2010-09-23T00:00:00.000Z,100,222,,,,,
2010-09-30T00:00:00.000Z,100,263,,,,,
2010-10-07T00:00:00.000Z,100,276,,,,,
2010-10-14T00:00:00.000Z,100,213,,,,,
2010-10-21T00:00:00.000Z,100,295,,,,,
2010-10-28T00:00:00.000Z,100,203,,,,,
2010-11-04T00:00:00.000Z,100,326,,,,,
2010-11-11T00:00:00.000Z,100,283,,,,,
2010-11-18T00:00:00.000Z,100,468,,,,,
2010-11-25T00:00:00.000Z,100,378,,,,,
2010-12-02T00:00:00.000Z,100,582,,,,,
2010-12-09T00:00:00.000Z,100,648,,,,,
2010-12-16T00:00:00.000Z,100,509,,,,,
2010-12-23T00:00:00.000Z,100,458,,,,,
2010-12-30T00:00:00.000Z,100,398,,,,,
2011-01-06T00:00:00.000Z,100,484,,,,,
2011-01-13T00:00:00.000Z,100,469,,,,,
2011-01-20T00:00:00.000Z,100,449,,,,,
2011-01-27T00:00:00.000Z,100,487,,,,,
2011-02-03T00:00:00.000Z,100,496,,,,,
2011-02-10T00:00:00.000Z,100,861,,,,,
2011-02-17T00:00:00.000Z,100,1047,,,,,
2011-02-24T00:00:00.000Z,100,1033,,,,,
2011-03-03T00:00:00.000Z,100,826,,,,,
2011-03-10T00:00:00.000Z,100,600,,,,,
2011-03-17T00:00:00.000Z,100,1027,,,,,
2011-03-24T00:00:00.000Z,100,976,,,,,
2011-03-31T00:00:00.000Z,100,900,,,,,
2011-04-07T00:00:00.000Z,100,868,,,,,
2011-04-14T00:00:00.000Z,100,1235,,,,,
2011-04-21T00:00:00.000Z,100,1439,,,,,
2011-04-28T00:00:00.000Z,100,1978,,,,,
2011-05-05T00:00:00.000Z,100,1971,,,,,
2011-05-12T00:00:00.000Z,100,2602,,,,,
2011-05-19T00:00:00.000Z,100,2957,,,,,
2011-05-26T00:00:00.000Z,100,3557,,,,,
2011-06-02T00:00:00.000Z,100,6149,,,,,
2011-06-09T00:00:00.000Z,100,7391,,,,,
2011-06-16T00:00:00.000Z,100,8434,,,,,
2011-06-23T00:00:00.000Z,100,6758,,,,,
2011-06-30T00:00:00.000Z,100,5271,,,,,
2011-07-07T00:00:00.000Z,100,4363,,,,,
2011-07-14T00:00:00.000Z,100,4214,,,,,
2011-07-21T00:00:00.000Z,100,3357,,,,,
2011-07-28T00:00:00.000Z,100,3298,,,,,
2011-08-04T00:00:00.000Z,100,3792,,,,,
2011-08-11T00:00:00.000Z,100,3130,,,,,
2011-08-18T00:00:00.000Z,100,2506,,,,,
2011-08-25T00:00:00.000Z,100,2935,,,,,
2011-09-01T00:00:00.000Z,100,3339,,,,,
2011-09-08T00:00:00.000Z,100,2224,,,,,
2011-09-15T00:00:00.000Z,100,2193,,,,,
2011-09-22T00:00:00.000Z,100,1714,,,,,
2011-09-29T00:00:00.000Z,100,1652,,,,,
2011-10-06T00:00:00.000Z,100,2112,,,,,
2011-10-13T00:00:00.000Z,100,2353,,,,,
2011-10-20T00:00:00.000Z,100,2219,,,,,
2011-10-27T00:00:00.000Z,100,1731,,,,,
2011-11-03T00:00:00.000Z,100,1429,,,,,
2011-11-10T00:00:00.000Z,100,1641,,,,,
2011-11-17T00:00:00.000Z,100,1708,,,,,
2011-11-24T00:00:00.000Z,100,1253,,,,,
2011-12-01T00:00:00.000Z,100,1408,,,,,
2011-12-08T00:00:00.000Z,100,1380,,,,,
2011-12-15T00:00:00.000Z,100,1396,,,,,
2011-12-22T00:00:00.000Z,100,1282,,,,,
2011-12-29T00:00:00.000Z,100,1617,,,,,
2012-01-05T00:00:00.000Z,100,2076,,,,,
2012-01-12T00:00:00.000Z,100,2192,,,,,
2012-01-19T00:00:00.000Z,100,1867,,,,,
2012-01-26T00:00:00.000Z,100,2096,,,,,
2012-02-02T00:00:00.000Z,100,1600,,,,,
2012-02-09T00:00:00.000Z,100,1848,,,,,
2012-02-16T00:00:00.000Z,100,1829,,,,,
2012-02-23T00:00:00.000Z,100,1809,,,,,
2012-03-01T00:00:00.000Z,100,2166,,,,,
2012-03-08T00:00:00.000Z,100,1812,,,,,
2012-03-15T00:00:00.000Z,100,1753,,,,,
2012-03-22T00:00:00.000Z,100,1875,,,,,
2012-03-29T00:00:00.000Z,100,1911,,,,,
2012-04-05T00:00:00.000Z,100,1815,,,,,
2012-04-12T00:00:00.000Z,100,1733,,,,,
2012-04-19T00:00:00.000Z,100,1638,,,,,
