Date,Price (LTC),Social Dominance (LTC),Social Volume (LTC),Active social users (Telegram) (LTC),Twitter Followers (LTC),Twitter Followers 24h (LTC),Twitter Followers 7d (LTC)
2010-09-30T00:00:00.000Z,,0,0,,,,
2010-10-07T00:00:00.000Z,,0,0,,,,
2010-10-14T00:00:00.000Z,,0,1,,,,
2010-10-21T00:00:00.000Z,,0,0,,,,
2010-10-28T00:00:00.000Z,,0,0,,,,
2010-11-04T00:00:00.000Z,,0,0,,,,
2010-11-11T00:00:00.000Z,,0,0,,,,
2010-11-18T00:00:00.000Z,,0,0,,,,
2010-11-25T00:00:00.000Z,,0,0,,,,
2010-12-02T00:00:00.000Z,,0,0,,,,
2010-12-09T00:00:00.000Z,,0,0,,,,
2010-12-16T00:00:00.000Z,,0,0,,,,
2010-12-23T00:00:00.000Z,,0,0,,,,
2010-12-30T00:00:00.000Z,,0,0,,,,
2011-01-06T00:00:00.000Z,,0,0,,,,
2011-01-13T00:00:00.000Z,,0,0,,,,
2011-01-20T00:00:00.000Z,,0,0,,,,
2011-01-27T00:00:00.000Z,,0,0,,,,
2011-02-03T00:00:00.000Z,,0,0,,,,
2011-02-10T00:00:00.000Z,,0,0,,,,
2011-02-17T00:00:00.000Z,,0,0,,,,
2011-02-24T00:00:00.000Z,,0,0,,,,
2011-03-03T00:00:00.000Z,,0,0,,,,
2011-03-10T00:00:00.000Z,,0,0,,,,
2011-03-17T00:00:00.000Z,,0,0,,,,
2011-03-24T00:00:00.000Z,,0,0,,,,
2011-03-31T00:00:00.000Z,,0,0,,,,
2011-04-07T00:00:00.000Z,,0,0,,,,
2011-04-14T00:00:00.000Z,,0,0,,,,
2011-04-21T00:00:00.000Z,,0.05015045135406219,1,,,,
2011-04-28T00:00:00.000Z,,0,0,,,,
2011-05-05T00:00:00.000Z,,0,0,,,,
2011-05-12T00:00:00.000Z,,0,0,,,,
2011-05-19T00:00:00.000Z,,0,0,,,,
2011-05-26T00:00:00.000Z,,0,0,,,,
2011-06-02T00:00:00.000Z,,0.006713211600429645,1,,,,
2011-06-09T00:00:00.000Z,,0,0,,,,
2011-06-16T00:00:00.000Z,,0.0085295121119072,1,,,,
2011-06-23T00:00:00.000Z,,0.03902185223725286,2,,,,
2011-06-30T00:00:00.000Z,,0,0,,,,
2011-07-07T00:00:00.000Z,,0.009633911368015415,1,,,,
2011-07-14T00:00:00.000Z,,0.05770340450086555,1,,,,
2011-07-21T00:00:00.000Z,,0.03125,1,,,,
2011-07-28T00:00:00.000Z,,0.07863695937090433,2,,,,
2011-08-04T00:00:00.000Z,,0.014997000599880024,1,,,,
2011-08-11T00:00:00.000Z,,0,0,,,,
2011-08-18T00:00:00.000Z,,0,0,,,,
2011-08-25T00:00:00.000Z,,0,1,,,,
2011-09-01T00:00:00.000Z,,0.08481764206955048,2,,,,
2011-09-08T00:00:00.000Z,,0,0,,,,
2011-09-15T00:00:00.000Z,,0,0,,,,
2011-09-22T00:00:00.000Z,,0.08779631255487269,1,,,,
2011-09-29T00:00:00.000Z,,0.09049773755656108,1,,,,
2011-10-06T00:00:00.000Z,,3.3952611739364573,75,,,,
2011-10-13T00:00:00.000Z,,11.940242057488657,290,,,,
2011-10-20T00:00:00.000Z,,6.763398692810455,178,,,,
2011-10-27T00:00:00.000Z,,7.01426836672738,163,,,,
2011-11-03T00:00:00.000Z,,5.973613894455578,130,,,,
2011-11-10T00:00:00.000Z,,4.984624846248463,91,,,,
2011-11-17T00:00:00.000Z,,5.699823943661972,126,,,,
2011-11-24T00:00:00.000Z,,3.469122023809524,52,,,,
2011-12-01T00:00:00.000Z,,6.664998331664998,101,,,,
2011-12-08T00:00:00.000Z,,1.5533813937521455,29,,,,
2011-12-15T00:00:00.000Z,,2.744090441932169,58,,,,
2011-12-22T00:00:00.000Z,,3.7698412698412707,63,,,,
2011-12-29T00:00:00.000Z,,2.775193798449612,54,,,,
2012-01-05T00:00:00.000Z,,2.3015873015873014,55,,,,
2012-01-12T00:00:00.000Z,,2.302981895633653,58,,,,
2012-01-19T00:00:00.000Z,,1.9835880022637238,41,,,,
2012-01-26T00:00:00.000Z,,2.7953586497890295,59,,,,
2012-02-02T00:00:00.000Z,,5.865019011406844,118,,,,
2012-02-09T00:00:00.000Z,,8.284875183553599,179,,,,
2012-02-16T00:00:00.000Z,,5.736735870818914,119,,,,
